SYMBOL
ABB
ACC
ADANIPORTS
AMBUJACEM
ASHOKLEY
ASIANPAINT
AUROPHARMA
DMART
AXISBANK
BAJAJ-AUTO
BAJFINANCE
BAJAJFINSV
BANKBARODA
BEL
BHEL
BPCL
BHARTIARTL
INFRATEL
BOSCHLTD
BRITANNIA
CADILAHC
CIPLA
COALINDIA
COLPAL
CONCOR
CUMMINSIND
DLF
DABUR
DRREDDY
EICHERMOT
EMAMILTD
GAIL
GSKCONS
GLAXO
GLENMARK
GODREJCP
HCLTECH
HDFCBANK
HAVELLS
HEROMOTOCO
HINDALCO
HINDPETRO
HINDUNILVR
HINDZINC
HDFC
ITC
ICICIBANK
ICICIPRULI
IDEA
IBULHSGFIN
IOC
INDUSINDBK
INFY
INDIGO
JSWSTEEL
KOTAKBANK
LICHSGFIN
LT
LUPIN
MRF
M&M
MARICO
MARUTI
MOTHERSUMI
NHPC
NMDC
NTPC
ONGC
OIL
OFSS
PETRONET
PIDILITIND
PEL
PFC
POWERGRID
PGHH
PNB
RELIANCE
RECLTD
SHREECEM
SRTRANSFIN
SIEMENS
SBIN
SAIL
SUNPHARMA
SUNTV
TCS
TATAMTRDVR
TATAMOTORS
TATAPOWER
TATASTEEL
TECHM
TITAN
TORNTPHARM
UPL
ULTRACEMCO
MCDOWELL-N
VEDL
WIPRO
YESBANK
ZEEL
