SYMBOL
ABB
ACC
AIAENG
ADANIENT
ADANIPORTS
ADANIPOWER
ABFRL
AJANTPHARM
ALKEM
AMARAJABAT
AMBUJACEM
APOLLOHOSP
APOLLOTYRE
ARVIND
ASHOKLEY
ASIANPAINT
AUROPHARMA
DMART
AXISBANK
BAJAJ-AUTO
BAJFINANCE
BAJAJFINSV
BALKRISIND
BANKBARODA
BANKINDIA
BATAINDIA
BERGEPAINT
BEL
BHARATFIN
BHARATFORG
BHEL
BPCL
BHARTIARTL
INFRATEL
BIOCON
BOSCHLTD
BRITANNIA
CESC
CRISIL
CADILAHC
CANBK
CASTROLIND
CENTRALBK
CENTURYTEX
CHOLAFIN
CIPLA
COALINDIA
COLPAL
CONCOR
COROMANDEL
CROMPTON
CUMMINSIND
DLF
DABUR
DALMIABHA
DHFL
DISHTV
DIVISLAB
LALPATHLAB
DRREDDY
EDELWEISS
EICHERMOT
EMAMILTD
ENDURANCE
ENGINERSIN
EXIDEIND
FEDERALBNK
FORTIS
FRETAIL
GAIL
GMRINFRA
GSKCONS
GLAXO
GLENMARK
GODREJCP
GODREJIND
GRUH
GPPL
GSPL
HCLTECH
HDFCBANK
HAVELLS
HEROMOTOCO
HEXAWARE
HINDALCO
HINDPETRO
HINDUNILVR
HINDZINC
HDFC
ITC
ICICIBANK
ICICIPRULI
IDBI
IDFCBANK
IDFC
IRB
IDEA
IBULHSGFIN
INDIANB
INDHOTEL
IOC
IGL
INDUSINDBK
NAUKRI
INFY
INDIGO
IPCALAB
JSWENERGY
JSWSTEEL
JINDALSTEL
JUBLFOOD
JUBILANT
KARURVYSYA
KOTAKBANK
L&TFH
LICHSGFIN
LT
LUPIN
MRF
MGL
M&MFIN
M&M
MANAPPURAM
MRPL
MARICO
MARUTI
MFSL
MINDTREE
MOTHERSUMI
MPHASIS
MUTHOOTFIN
NATCOPHARM
NBCC
NHPC
NMDC
NTPC
NATIONALUM
OBEROIRLTY
ONGC
OIL
OFSS
PCJEWELLER
PIIND
PNBHOUSING
PAGEIND
PETRONET
PIDILITIND
PEL
PFC
POWERGRID
PRESTIGE
PGHH
PNB
RBLBANK
RAJESHEXPO
RCOM
RELIANCE
RELINFRA
RPOWER
RECLTD
SRF
SHREECEM
SRTRANSFIN
SIEMENS
SBIN
SAIL
STAR
SPARC
SUNPHARMA
SUNTV
SUZLON
SYNDIBANK
SYNGENE
TV18BRDCST
TVSMOTOR
TATACHEM
TATACOMM
TCS
TATAGLOBAL
TATAMTRDVR
TATAMOTORS
TATAPOWER
TATASTEEL
TECHM
RAMCOCEM
TITAN
TORNTPHARM
TORNTPOWER
UPL
ULTRACEMCO
UNIONBANK
UBL
MCDOWELL-N
VAKRANGEE
VEDL
VOLTAS
WELSPUNIND
WIPRO
WOCKPHARMA
YESBANK
ZEEL
