SYMBOL
3MINDIA
8KMILES
ABB
ACC
AIAENG
APLAPOLLO
AARTIIND
ABAN
ADANIENT
ADANIPORTS
ADANIPOWER
ADANITRANS
ABFRL
ADVENZYMES
AEGISCHEM
AHLUCONT
AJANTPHARM
AKZOINDIA
APLLTD
ALKEM
ALBK
ALLCARGO
AMARAJABAT
AMBUJACEM
ANDHRABANK
APARINDS
APOLLOHOSP
APOLLOTYRE
ARVIND
ASHOKLEY
ASHOKA
ASIANPAINT
ASTRAZEN
ASTRAL
ATUL
AUROPHARMA
AVANTIFEED
DMART
AXISBANK
BASF
BEML
BFUTILITIE
BGRENERGY
BSE
BAJAJ-AUTO
BAJAJCORP
BAJAJELEC
BAJFINANCE
BAJAJFINSV
BAJAJHIND
BAJAJHLDNG
BALKRISIND
BALLARPUR
BALMLAWRIE
BALRAMCHIN
BANKBARODA
BANKINDIA
BATAINDIA
BERGEPAINT
BEL
BHARATFIN
BHARATFORG
BHEL
BPCL
BHARTIARTL
INFRATEL
BHUSANSTL
BIOCON
BIRLACORPN
BLISSGVS
BLUEDART
BLUESTARCO
BBTC
BOMDYEING
BRFL
BOSCHLTD
BRIGADE
BRITANNIA
CARERATING
CCL
CESC
CGPOWER
CRISIL
CADILAHC
CANFINHOME
CANBK
CAPF
CAPLIPOINT
CARBORUNIV
CASTROLIND
CEATLTD
CENTRALBK
CENTURYPLY
CENTURYTEX
CERA
CHAMBLFERT
CHENNPETRO
CHOLAFIN
CIPLA
CUB
COALINDIA
COFFEEDAY
COLPAL
CONCOR
COROMANDEL
CORPBANK
COX&KINGS
CROMPTON
CUMMINSIND
CYIENT
DBREALTY
DBCORP
DCBBANK
DCMSHRIRAM
DLF
DABUR
DALMIABHA
DEEPAKFERT
DELTACORP
DEN
DENABANK
DHFL
DHANUKA
DBL
DISHTV
DIVISLAB
LALPATHLAB
DRREDDY
DREDGECORP
EIDPARRY
EIHOTEL
EDELWEISS
EICHERMOT
EMAMILTD
ENDURANCE
ENGINERSIN
EQUITAS
EROSMEDIA
ESCORTS
ESSELPACK
EVEREADY
EXIDEIND
FEDERALBNK
FINCABLES
FINPIPE
FSL
FORTIS
FCONSUMER
FLFL
FRETAIL
GAIL
GEPIL
GET&D
GHCL
GMRINFRA
GVKPIL
GDL
GATI
GAYAPROJ
GILLETTE
GSKCONS
GLAXO
GLENMARK
GODFRYPHLP
GODREJCP
GODREJIND
GODREJPROP
GRANULES
GESHIP
GREAVESCOT
GREENPLY
GRUH
GUJALKALI
GUJFLUORO
GUJGASLTD
GMDCLTD
GNFC
GPPL
GSFC
GSPL
GULFOILLUB
HCL-INSYS
HCLTECH
HDFCBANK
HSIL
HTMEDIA
HATHWAY
HAVELLS
HEIDELBERG
HERITGFOOD
HEROMOTOCO
HEXAWARE
HFCL
HIMATSEIDE
HINDALCO
HCC
HINDCOPPER
HINDPETRO
HINDUNILVR
HINDZINC
HDFC
HDIL
ITC
ICICIBANK
ICICIPRULI
ICRA
IDBI
IDFCBANK
IDFC
IFBIND
IFCI
IL&FSTRANS
IRB
ITDCEM
ITI
IDEA
IGARASHI
INDIACEM
ITDC
IBULHSGFIN
IBREALEST
IBVENTURES
INDIANB
INDHOTEL
IOC
IOB
ICIL
INDOCO
IGL
INDUSINDBK
INFIBEAM
NAUKRI
INFY
INGERRAND
INOXLEISUR
INOXWIND
INTELLECT
INDIGO
IPCALAB
JBCHEPHARM
JKCEMENT
JKIL
JBFIND
JKLAKSHMI
JKTYRE
JMFINANCIL
JSWENERGY
JSWSTEEL
JAGRAN
JAICORPLTD
JISLJALEQS
JPASSOCIAT
JPPOWER
J&KBANK
JETAIRWAYS
JINDALPOLY
JINDALSAW
JSLHISAR
JSL
